credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
0,4748763709,2041280932,1126570957,8,699,0
1,5227445165,7818385069,8132351252,6,713,0
0,4518312199,6942353608,8469788202,6,553,0
0,6228325724,7128380362,9317627099,5,671,0
1,2297158597,6650134904,6441652795,6,592,0
0,3542228939,5881252029,5881252029,5,662,0
5,4851063484,240229064,8845308155,2,597,1
2,3847654689,1182842908,7530690261,4,680,0
1,4129965897,9183643851,8604353726,7,657,0
0,4609895787,8309041743,9285310608,5,643,0
1,4534689439,7141924085,7400161461,6,736,0
3,392280811,1704839384,8392746542,4,646,0
0,3600825602,8124422625,7388012372,4,657,0
5,5751973653,1966776083,8346344845,6,532,1
5,4106734829,1989414153,726669164,4,556,1
5,43976187,1909606197,7046754474,4,639,1
0,3640097439,414311283,5202069513,3,571,0
1,6474803868,1429573091,1093127998,3,599,0
0,3494431114,5094812464,4876738849,3,699,0
2,2643951504,5464146304,4682459294,8,616,0
1,2941966159,3866279635,5989905548,6,587,0
5,4074505321,1705722121,5919447718,2,562,1
0,6232348585,9718049823,8475434529,2,718,0
1,4999124,8159480969,906881795,5,700,0
5,3866281408,1864669017,6009893451,1,533,1
0,4476223224,7962179407,9292532776,3,551,0
0,3341395574,3793143453,4983385249,2,450,0
0,4758196554,1221672317,7346501083,3,674,0
0,3922256836,3642200556,8050416913,5,665,0
1,4572225417,1017796522,9096853399,5,639,0
0,403452621,9480678173,9480678173,5,562,0
0,5675221082,7683780359,101059673,4,589,0
5,2571326399,1328188224,4431205098,3,555,1
1,2727900991,6537396592,5909868241,7,598,0
1,2846161242,7156963722,7354916213,5,590,0
4,2592943642,8424998148,3413697371,0,623,1
0,2692629443,2025800658,4907873029,4,607,0
0,4473205978,4727994263,7618354363,3,715,0
0,2980151548,4717582566,6538530848,5,710,0
0,5609982005,9034945632,9288086903,4,631,0
3,4526148895,1523808168,7906937638,4,636,0
4,2112922668,1383153611,4905762317,3,602,1
0,4808997289,8466207116,838788205,4,704,0
2,1773229825,5569151009,3668460488,6,661,0
0,4040086678,3963591121,580969863,6,749,0
0,265549252,2216929324,3553786917,2,629,0
0,4185378283,546281234,887602204,3,685,0
1,3363349205,8434627389,641204645,6,674,0
5,5015523684,2328577235,8196937804,3,535,1
2,3047938409,9342683935,8006139302,7,775,0
0,4484469623,8017383546,8017383546,4,733,0
5,3048093824,13816484,4563497628,4,564,1
1,3722277006,7425752561,6342044756,5,649,0
5,2813242256,1397625704,4801496443,4,601,1
0,2069377195,3810609489,3936427288,4,626,0
1,3799853484,717586908,5826900754,4,545,0
5,6068572941,2677817344,8478281686,2,647,1
1,5842526554,6373955421,8339350296,7,620,0
5,3641516365,1775319598,5861337466,6,562,1
1,2704192583,5611883226,4188586815,3,657,0
1,4294616313,1182568604,9971233865,5,661,0
1,5353143061,8291824271,8185457967,5,648,0
0,2462460766,3352792279,3618140044,3,568,0
1,1562989284,4852408566,3424370326,5,548,0
5,1851045889,7988556132,248139307,5,518,1
1,5369735499,1190196952,9035939041,4,670,0
1,345195916,7405852665,593967135,5,772,0
4,2739595209,1700839916,7205898501,6,536,1
5,3614620828,191733113,6489957969,3,672,1
1,4407865572,6637558865,8171619968,6,707,0
5,368222545,2558475906,8113301875,4,605,1
0,4728874347,5029439648,6462977999,2,722,0
0,8141876248,307326691,1158265247,3,624,0
2,4890212039,1281812215,8656186902,5,693,0
1,3396110313,7313729962,5004114379,4,624,0
0,4104678975,4585826308,6230472964,3,661,0
0,3656969026,4231106325,6408390249,3,685,0
0,4503521294,441078249,7675456502,4,590,0
3,3053389559,1258279006,591465633,5,662,0
0,3158126957,5544150575,6084720322,3,635,0
0,5890048744,3100637381,1141356027,5,650,0
1,4432577588,8323102205,7097784186,6,676,0
0,2139829917,2946213072,4017518101,4,599,0
1,5049731936,8970784691,7537607328,5,706,0
0,3569082739,3368961446,6235945803,3,701,0
0,3284222065,1807951826,5873376408,4,663,0
5,4690639076,2631457051,9885891554,5,602,1
0,3948917984,5423179171,7463822629,6,502,0
3,3436328124,1226577486,6653689201,7,679,0
0,2781119659,3292450796,4778594147,3,578,0
0,4149808716,2190270127,7097926959,5,713,0
3,3390867686,1122503226,5951381633,5,597,0
1,3735565757,7449939172,636520464,6,614,0
3,4264805627,1451971866,7705392249,3,542,1
0,5847917833,279623702,9282822714,5,678,0
0,5056707205,5938246144,8464313271,3,591,0
1,3067806629,5844648422,5573918294,5,648,0
3,3605773746,1341275469,660824004,4,656,0
5,2789327409,175105147,5332703547,4,685,1
1,5086040826,934818824,8755517504,7,664,0
4,4123898294,1857072838,6944508612,3,638,1
0,6239579763,7222054207,8446672446,4,663,0
1,4008637886,6167484873,6647440674,5,672,0
1,2351532966,4610463403,5088470095,7,728,0
3,516932515,1478822026,7764189559,3,556,1
2,5176242327,1219613678,64969664,3,623,0
0,2253928353,1202198472,4892008859,2,635,0
2,3939722313,1135873707,7175002464,4,657,0
3,259248188,8000346125,5142557726,7,724,0
2,3818851667,1382903551,867813997,5,679,0
0,2862243804,3080385117,6593802378,5,617,0
1,3129304066,630414509,639412829,5,641,0
5,3554222715,1380882056,4888741985,3,675,1
3,6007125469,1673790485,9033265392,4,605,0
0,2890705217,8741663636,4222838449,5,590,0
0,3470776209,42529237,5990567965,5,600,0
0,512377482,4720384296,7742198991,1,674,0
1,3220778081,7406698394,5402404793,2,712,0
1,5591858547,1098742496,8192236242,3,532,0
2,3839097006,1145482811,6507506435,4,573,0
0,2708889545,1210197859,5211560669,4,514,0
1,5432471583,5172345668,734358106,7,640,0
2,4039683784,1222321712,8193587794,5,654,0
1,3700155427,3831387987,4887785453,6,681,0
1,4142051341,6988591743,8525762518,6,744,0
3,4677785071,1258042623,8306034842,5,622,0
1,4157611647,9736586654,736155549,6,726,0
0,5957574122,5425554652,7758348388,4,623,0
0,5374316417,6659095868,9088246992,4,616,0
0,3162561835,5769236882,5769236882,4,677,0
1,4591018644,1164813396,7717066673,4,648,0
1,5132817834,7930057622,7397688398,3,618,0
5,4970869798,257771911,7890193054,4,684,1
1,339886019,6765741406,5986480763,5,722,0
1,4914652678,7031477411,7286493106,4,789,0
1,491145806,1203040004,9616272702,5,721,0
5,5170471797,2851751101,9092230181,5,695,1
3,5476228305,1545506575,922052957,5,603,0
0,3562650171,5545193875,6685700529,3,696,0
0,4930567228,423309614,7964632885,6,576,0
2,5051575567,9421751407,8476878787,7,652,0
0,7737109466,8589706268,9269360103,2,599,0
4,5585006103,2190771492,9682871406,7,712,0
0,4542414284,3839495001,8064957403,2,588,0
0,4058080515,1243163415,6311768854,5,754,0
1,4775423687,8025033698,8763451986,6,563,0
5,4194143448,2885583542,9335079585,3,649,1
2,2799034718,6048632159,4841094056,7,726,0
0,5301504204,5487776595,9289322428,3,634,0
0,4089106626,7426530774,7728887898,2,703,0
4,2758285889,1621621658,6171280156,3,605,1
3,3619541694,1097986816,5656921149,4,628,0
5,2385002039,1192760938,3825349894,4,502,1
1,3503938466,4743569718,5443406068,5,626,0
1,4448104519,5763181002,6948579816,6,627,0
2,3700862853,1032433471,6416336999,4,539,0
1,2389403784,4964262807,4045749574,6,633,0
0,2778906502,447748328,5545809217,5,621,0
0,377942523,9044940614,6251706306,2,766,0
1,1880802547,3729528907,3947754039,5,587,0
1,2728688603,5171902994,4362295688,4,612,0
2,3186264825,7590226308,6816292896,7,707,0
2,4643097754,1294176494,7316052938,2,558,0
2,3599253309,5740888501,5219016077,7,656,0
1,5985298829,7479876791,7885677201,6,581,0
2,3614692474,9612962218,6626539048,5,583,0
5,2514549741,141692705,5026708601,4,597,1
3,5385525601,1887718621,8375390928,2,591,1
4,1833687283,7799698523,329181528,5,729,1
5,2761211689,1446701803,5281865598,3,611,1
4,4259647669,1934244415,8828575856,4,623,1
4,5690103377,2246428327,9189034759,1,539,1
3,1135931819,4301981196,2235015771,5,719,0
2,3867814757,9981060123,6425123589,5,658,0
1,6373146776,730785478,8196043648,5,628,0
4,5179997523,1608836032,7435370478,5,577,1
1,470706335,7688834155,7212525052,3,629,0
1,5235282674,1094508597,8418465179,5,696,0
3,5636417684,1657917061,8228637825,4,612,0
1,2352138238,3823163589,3722126439,6,726,0
5,4912357257,1994101736,7902079427,5,589,1
0,5876366084,4271837934,8945429174,5,579,0
0,3823692306,6558639051,7352400162,4,607,0
1,4181516145,4799964706,5369156705,5,693,0
0,3638176611,1640370287,6647345294,7,699,0
0,3392347123,3182582987,6881228073,4,664,0
0,3056196421,1276656605,4844025785,6,708,0
4,3101783163,1071750829,4377442986,1,531,1
0,5172386204,2059053994,7126484862,5,741,0
0,4466721728,4599407778,7711975216,3,683,0
0,5135335507,3222909949,7139202677,3,719,0
0,3444872993,2710889507,7439613066,3,571,0
2,5352637492,8122505683,6615851292,4,637,0
1,3581059197,4754799878,5871746469,5,734,0
0,2449386856,1360932133,5527310019,6,635,0
1,5620081255,8593449804,9888115154,7,697,0
0,5492956461,5431847193,8732712285,5,678,0
1,3406899014,7955992461,6326487776,5,732,0
0,5511025182,3932909181,7877843625,2,641,0
2,4515490192,9523257479,7127716154,5,662,0
0,3138626946,6771779234,6771779234,7,536,0
1,4259988064,6370040864,599988787,3,679,0
2,2466011334,5079577357,4434370464,6,679,0
0,4618504952,3732381086,8140609892,6,736,0
2,3268521498,7201760077,6907711416,8,708,0
2,3453469235,1183201144,7176501428,3,635,0
1,5198281965,1031474113,9557949239,5,757,0
0,4295569415,6371829379,6371829379,0,628,0
1,6940629805,1453937102,1198542865,6,684,0
2,2962697371,6857301686,6526991096,8,692,0
5,1876362386,993545444,3585383196,6,616,1
5,6661148407,2576338319,8256335961,3,618,1
0,4958329058,523506036,9734133219,4,655,0
0,4114576067,1972806858,7135851401,2,573,0
1,2601369109,5711510861,6169399979,5,639,0
1,243687108,5103553205,5058221647,6,707,0
5,4825414614,1712132402,5815863499,3,575,1
0,4668454724,4603360271,658241577,3,682,0
5,4342181006,2364756933,7220031974,4,655,1
0,5667629093,6777238173,9121438753,4,657,0
1,4574000234,7374962286,7682744541,5,580,0
0,4078264367,479603111,9032979992,6,630,0
1,4421929158,8352473646,7804079421,5,702,0
0,6913416682,7515151381,9576378517,3,588,0
1,8199249069,8590527838,1131552211,7,717,0
0,3084654166,2775939053,44432681,6,619,0
5,3082392927,135681577,4619416155,4,523,1
1,3031369895,5278515667,5108536579,5,658,0
5,3715013373,1361035057,5293421835,3,554,1
1,408772697,765300652,7260986538,5,627,0
0,66546523,8469802427,9966212718,3,545,0
2,5616414126,1235817999,8544893509,6,749,0
2,492694761,1065081867,7022047328,5,748,0
1,3589457393,7036274272,7310477013,6,665,0
3,3746827595,8567291411,4786980094,5,570,0
0,5851256856,4606096444,6841694789,2,770,0
1,4296588674,5495821113,7589568373,5,633,0
2,5657887144,1151271977,7715285765,3,587,0
5,278769516,1266833199,515047556,5,626,1
0,6016634948,1505292054,9669801222,3,643,0
1,4416961801,5986206899,6544079902,5,725,0
2,3732762971,7991068725,5996316813,3,702,0
3,3498289725,1325161209,6574337133,5,695,0
0,1968975209,1954689457,45267387,4,629,0
1,5206100102,7831588188,889180565,4,624,0
0,2337694592,1405979729,4086868089,5,657,0
0,4473429393,4503996715,6157243664,4,639,0
0,1523157204,1114786377,3597765295,7,664,0
0,1544964982,1937539901,2355979466,2,713,0
0,2441035518,3968863497,4862342864,5,603,0
0,3973675982,293872038,6977519766,5,654,0
1,4414456139,8166510764,7757760492,6,614,0
1,3855164506,8177181269,1007811443,7,605,0
0,5191708199,5005613158,7729200283,5,563,0
2,3605721924,1102071486,8015130865,8,705,0
1,441688385,818780427,6060724894,2,574,0
1,5117436874,6296116494,8180417266,6,744,0
0,5001607687,909408148,9004241661,4,620,0
0,5452437511,8608493078,8608493078,6,671,0
0,2139478386,4365128283,4631280174,4,601,0
0,3967597772,2680484677,8263137594,6,580,0
2,5631561247,1240626682,9121827891,4,643,0
1,3658697821,6782372549,6372078118,6,605,0
0,349518196,2258945221,4687658299,3,569,0
0,3900924379,5162661742,7359794004,6,584,0
2,5759364422,1089348304,8136881819,3,551,0
2,5606198283,15179504,9331645022,5,734,0
0,2638016607,3438383675,5081930534,5,602,0
1,7808355283,569583038,1011520586,8,619,0
0,3763844532,4010614461,6660011237,6,605,0
0,2825193953,4215936859,5148192601,4,657,0
1,2887052508,4832915058,5572934861,5,653,0
0,4173337094,4952276932,7533554505,5,639,0
1,5562670006,7606778798,7659549868,6,628,0
5,4429521296,1738020702,5941346694,4,536,1
1,4102243668,1066964943,9741427582,5,650,0
1,5302132152,6672046165,7581317772,4,557,0
0,3500565375,3280904678,6187453483,5,532,0
0,440770573,3355313656,5722565581,3,603,0
1,4066543758,4690397428,6647393637,6,608,0
0,3319253072,4839424807,5891816484,4,602,0
4,3770557062,1510305448,6142118109,2,535,1
0,4398830507,4122962907,6092194942,2,690,0
5,6173517877,1960941843,7477053543,4,542,1
5,2546073189,1685350996,6455641723,4,602,1
1,3075670876,8152763856,6042736617,3,658,0
0,3366727531,3565757149,5410717074,3,646,0
0,2229419378,3043967766,3482076913,4,592,0
0,2371767931,2422827588,3320013511,3,598,0
5,3164844122,129153259,3850912744,4,576,1
2,5961543614,9784970093,8139361856,7,715,0
4,4019424818,9272829458,5339042063,8,605,0
1,4937214998,8998503869,7216371477,3,593,0
3,5366319942,1318123999,6939292908,4,616,0
0,8033586168,8420445731,1189879205,3,747,0
5,2453544367,104335278,3749550272,3,655,1
1,2409638878,5955531549,4871802167,5,688,0
1,3741893746,4166089158,6382467966,6,726,0
0,4940313596,3462637327,7472611393,3,671,0
1,6980348803,7690263731,81449035,4,712,0
0,3232079608,3533892407,5776546253,6,717,0
0,4537113578,2829335972,595227867,5,699,0
0,4455401499,2127589238,7640278756,3,584,0
0,4410664052,4621407738,704951106,4,740,0
0,3459848269,3998004401,4738733592,2,652,0
1,3360521885,5079633305,3944321126,3,527,0
0,4023657943,4605969389,5572600916,2,700,0
4,4249389578,1448261564,6091986976,3,498,1
0,2796288653,5725131456,531893856,3,693,0
0,3400459282,2438237979,6262400132,4,608,0
4,402063588,1229896174,6502391408,7,712,0
4,5178666422,1963064126,772259518,3,631,1
2,3441180535,1118647973,7519984462,6,713,0
0,4232161126,438966354,7106421686,3,600,0
1,5238807496,9865423072,7826137854,4,663,0
0,8107542733,7394643669,9470985426,2,622,0
5,5514129155,2065692456,7518849855,4,577,1
1,231391068,5858196071,5261008266,6,745,0
5,4417952552,1880138978,6692308849,4,580,1
5,4000047704,1826661935,5574151375,5,580,1
0,5880527717,3583143715,9916924572,7,693,0
3,82808474,2158665459,1241923386,3,651,0
1,1492292553,3388024438,2827918333,3,633,0
1,4340861613,8752126615,7802266976,4,595,0
1,3608933401,747948061,7056979331,5,653,0
2,2883146726,7735308588,5324892242,6,573,0
0,566444269,8230884184,862647429,3,656,0
5,4609388676,2135616001,7208936221,3,640,1
0,5435723313,4746849035,7918480734,5,622,0
0,164570897,2708210111,336305337,5,696,0
0,2331947677,2935412581,4420963328,4,549,0
1,3662621066,1223811433,924500248,7,628,0
2,3321642412,1044372866,6532137584,4,697,0
0,576285244,6646369096,9538769069,5,686,0
5,7177776071,4061444432,1245511093,5,593,1
0,4601913288,1949700357,7283460779,3,622,0
1,6618070454,1389450265,9484063224,3,580,0
3,4780698617,1194554019,6870992476,4,687,0
1,4696530146,8541074713,948182738,7,650,0
0,2801344067,181219779,4878057972,6,644,0
1,4611914093,743222756,7886671081,7,555,0
0,832785617,9738095914,1181859949,3,577,0
0,3730172118,6515752662,6515752662,6,654,0
3,5803641251,1656801102,8216432733,4,479,1
1,3132814086,3436033668,4890956704,7,599,0
0,3334820894,3726159616,8198166816,6,656,0
5,3784211864,2360536849,7602410643,2,466,1
1,6169252576,8917850904,1059765065,7,706,0
2,6581765984,902314783,8495997714,8,711,0
5,2513696466,1315035653,4227457468,3,628,1
1,1964438165,3969899454,3989748348,7,664,0
0,3843327696,8574747616,9790115069,3,508,0
1,52626798,5389639959,7355224327,8,675,0
5,6813173542,2153450761,718024046,4,653,1
0,571522761,6814931149,7699429285,4,674,0
0,4004857526,4094441132,6238231218,5,642,0
0,1599932207,1077329553,261913807,2,697,0
4,1931780443,6796764525,2693943501,1,682,1
1,3391612904,7791078059,7203950445,4,689,0
5,1588704981,1007433696,451976317,8,761,0
3,4250452832,1538999263,9374658763,5,621,0
0,3165883223,3475241718,7037398777,6,712,0
2,4478119914,133094711,940702901,4,654,0
1,5028107555,8413934027,8544456386,5,658,0
0,3716822653,4993682419,6633539164,5,582,0
2,5491932799,2008485878,1090544696,2,611,0
4,4290681429,1498382798,6972031824,6,557,1
2,3800526461,9799745434,8777008246,7,711,0
0,4433892062,512124953,6062567951,6,723,0
0,9380136666,8379175574,1316134466,5,672,0
1,4832454015,7220355973,8639749315,4,637,0
1,6529821316,1336011526,1156666401,6,676,0
0,7229291435,4179542112,9285674777,2,626,0
0,2739099782,651003708,651003708,5,649,0
4,3335993766,1408485745,5402555737,3,564,1
4,2622072029,972205403,3903460158,3,612,1
3,1765900924,5420863729,2697609541,4,610,0
3,3861633284,9563815184,4788463833,3,563,1
1,2379377461,4227200535,4115082256,5,646,0
0,4270697477,6887692298,7139465956,3,554,0
0,2170622029,2018936562,3908297434,6,652,0
5,6239926645,2816331061,9140664924,3,661,1
5,4619879539,2093281424,7289445118,2,571,1
5,5232250034,2120950201,8349091925,5,620,1
0,4205947579,4336908326,6539090501,5,694,0
5,4588995443,2787119934,941496484,4,592,1
5,4929907228,2236760283,755715871,3,552,1
1,4719521206,7092789069,5771663917,4,616,0
1,3372564637,5757993149,5606380641,6,639,0
5,2404579441,1228180576,3996482678,3,566,1
0,4485305674,3883851762,6040231896,4,597,0
1,4486681511,8433402312,6651330035,4,514,0
0,4754770706,3165549885,6019680423,3,613,0
0,421659118,5831521643,8782619213,6,640,0
5,2559381082,1596266096,5614818476,5,544,1
0,409803462,3713138334,6498596878,6,684,0
0,4837380207,4973174396,6712824185,3,546,0
2,5564250355,1019234541,8880752456,8,636,0
0,6078160129,2554751912,859170978,6,604,0
0,3536979074,1497489902,5825928581,3,524,0
5,3186565208,1496549515,5099440641,4,611,1
0,3568892681,9540091654,7492131903,2,655,0
1,4397870641,9410287986,8588164259,6,575,0
2,5451849104,131719754,9589032919,8,712,0
0,488318477,5174944093,7827013568,4,620,0
2,2215951223,6649863921,4519950931,6,706,0
0,1802508001,1819160873,2681126522,4,626,0
3,4904292507,1837362945,8719416173,5,661,0
5,2321386288,9152640031,3158070043,3,573,1
2,5658445065,1086719012,7649993686,4,654,0
5,4490198978,1560215304,6291164169,5,630,1
1,5831677687,9240788233,7622358447,5,669,0
2,5082984103,1211071156,7833511054,5,638,0
0,38856924,5953038679,8522116025,4,626,0
0,3544060037,363396489,5965799186,6,584,0
0,5298758678,5835957983,7932593745,3,651,0
1,3489734534,5648790548,5509764017,5,645,0
0,4174547227,4019051054,8659142939,3,574,0
1,6601986091,1514854854,1064652684,3,615,0
0,2554502433,2390575222,6733627143,5,636,0
5,4994791798,1712252063,6426863935,3,498,1
0,4130689602,4983592036,8135894197,6,721,0
5,3109771154,1091479208,448275064,4,641,1
2,4225275287,9722179121,5899740818,5,697,0
1,3622305844,7682844971,7800077709,7,628,0
1,3398327072,5986178082,5458927245,5,628,0
0,569639843,8437048298,9514214482,3,595,0
0,3659742622,10581706,683208814,4,682,0
1,5469593948,8528098179,1040343673,5,682,0
0,2689437973,2322861718,5288477361,4,672,0
1,2763269168,5407745312,4540930018,6,626,0
1,4855180207,9399499502,8271581505,4,645,0
3,2073310166,5584460341,4248040558,8,537,0
1,3167060798,4494991825,5652368903,6,621,0
1,3612052229,8174061652,7693987351,5,649,0
1,4723623119,9037060925,7874964334,4,561,0
5,3954072178,1644213916,6469575534,6,577,1
5,7945516959,2741773341,1001486711,2,689,1
5,518481675,2110831591,7691764627,2,667,1
0,276143292,2371687058,5348721977,4,646,0
0,317122109,1705405696,5046616489,4,637,0
1,3476530004,682438684,5463279806,4,618,0
5,52981173,2299981056,7077089275,4,522,1
0,3450652302,3569434635,467896357,4,661,0
1,4660042702,5843452173,6722282105,3,584,0
1,495593314,5559627352,7454709614,6,750,0
4,7982898788,2133388171,9652390378,3,528,1
0,2579776592,4441311379,6793299424,6,565,0
0,4298926591,6717727212,6717727212,5,643,0
0,3405019855,3746687529,6124402918,3,623,0
1,559445613,5581419321,8551120427,6,568,0
0,1669372221,1231502564,2552789013,6,710,0
4,562046889,2222619642,8751143578,5,649,1
4,336633052,1102784762,4375600179,0,645,1
1,4498560696,1003983881,9026260486,6,737,0
1,3219571102,5641089025,5589577137,6,707,0
0,6573176159,2500097572,7418054183,2,521,0
0,4992548631,8054795125,8632150217,4,735,0
0,2116797491,1792399329,3533245423,4,691,0
5,4598783366,2299288514,7957142754,4,605,1
2,7154224053,14579176,1122584138,6,687,0
4,4392975281,2001411116,8898386175,2,636,1
2,2533028313,7014620341,6441370169,8,660,0
0,2718223058,5319563635,4821759837,3,610,0
1,1806562618,3767466415,3274350295,6,534,0
1,4892724179,7944065716,7986338239,6,683,0
4,3733583919,1505119592,5840568556,5,713,1
0,3728901313,4299026874,7575976725,6,693,0
4,5249839534,2046696668,8294689659,5,580,1
0,3559169518,3190547368,7349540398,4,662,0
5,7298956482,2938391236,963702014,4,530,1
3,2287226053,1092872521,6328429724,6,567,0
5,7616802627,2803734595,1013522211,1,618,1
1,3225368245,6866411364,7409571159,5,617,0
0,3702654816,5453640791,7478287684,5,527,0
0,3227877974,6186477343,7357609194,5,676,0
0,488172614,8164198229,8164198229,5,639,0
0,2313814802,3268157996,4386507352,5,494,0
0,5130008941,6196841872,8882650761,4,581,0
0,548739515,7074188891,9095942127,4,593,0
5,9003447633,3597717635,1322530629,3,637,1
0,5044942554,4855125765,717284573,5,731,0
4,4857797385,2046384157,7236755886,2,551,1
5,4158592837,1929453853,7159697313,5,543,1
1,3814102362,6498210418,6439765293,7,642,0
1,3364303359,4880868805,5652721725,6,663,0
2,3165925551,1066697873,631516348,6,672,0
0,2059109556,2480441595,3360696416,3,667,0
1,280146962,5965147329,5500305041,6,715,0
5,4421628532,2065247951,7009682805,5,585,1
4,5046455363,2441763483,1045558774,5,672,1
1,3683390399,4408276636,5581020863,6,738,0
0,3584904141,2006355756,5170473326,5,609,0
3,5114308478,1663480702,8396881536,6,673,0
0,2590006371,4472411182,4472411182,6,587,0
1,3731879344,5194828828,5727378773,6,700,0
1,3192162431,7590261497,7085634064,6,632,0
1,2312459155,6083426802,5889890225,6,661,0
1,310681912,7748786713,6417713146,6,711,0
5,3385651941,1669072779,5259074911,3,695,1
5,5573507296,1974052491,7925571416,5,577,1
0,2200827291,8704655658,4864776809,5,629,0
5,4378695488,2264516697,8431780841,4,713,1
1,410613093,6456699596,686907518,6,710,0
1,4118701474,4767061057,6225145011,8,727,0
0,5118796538,6626876217,8254176028,6,661,0
1,4130345551,5800332223,776226292,6,626,0
1,4216418907,5864605354,6308622497,6,685,0
1,3300930545,8029744344,5898516873,6,610,0
0,5566074523,7785123148,7785123148,6,592,0
0,4827283234,6796303406,7805344272,4,602,0
0,5515774154,4275229823,8339687033,3,678,0
0,3804272682,3789195147,6865202047,6,616,0
0,2777302656,3430341172,7543606779,2,686,0
0,4905423417,4527792026,8980109859,5,587,0
0,468209708,8586896441,8586896441,5,685,0
5,5872761245,2178152442,7711000337,3,661,1
5,3054226605,2120932821,7006598608,4,599,1
1,2882066459,6651579182,5676697113,5,539,0
2,1946294217,6798214705,4597632309,4,499,0
5,450538551,1779388953,5982645562,4,517,1
0,3832501969,7104940792,7104940792,4,613,0
5,4513667807,1972475874,7578192412,3,498,1
0,188704748,2792225783,3553782382,6,642,0
0,485172036,5709154219,6650346988,4,562,0
1,2776783542,4893591125,4759574128,6,584,0
1,3458981714,7738650561,6331361101,4,539,0
4,5140866997,2029676181,8090302208,1,610,1
1,4549734194,5830732775,7183525222,6,713,0
5,3101142819,2214500313,7748467239,6,586,1
1,3840493503,576373243,6231611558,5,722,0
1,2424916645,549708113,449439332,6,644,0
0,2559401347,2082863107,595222306,5,652,0
0,4306410314,5491583585,6532326176,5,604,0
1,3106842142,6257336954,5366712682,6,673,0
1,2714895011,4896545702,5998251448,7,657,0
3,5077942874,1452028954,7551943557,4,617,0
5,3784745932,2144295462,771425275,3,601,1
1,3790645623,5705328808,6134269872,6,690,0
1,5018338786,8666491564,9743021757,5,621,0
0,5718083929,2044652044,9773120651,3,662,0
0,3662497101,3626985473,4869066727,3,562,0
1,3865857592,7919128636,5987861129,2,590,0
4,4841496902,1325041565,6227461576,5,665,1
0,4229324069,1445330883,8579716114,5,633,0
0,4868117604,4854936364,6664888482,4,679,0
1,3840881075,8652796907,7533091642,4,674,0
1,5420508328,8862231374,9173134151,5,662,0
2,2676145206,3387936428,3393553747,6,760,0
4,3350087164,1169151329,4547968214,2,614,1
0,2743864028,2036025344,3547464072,4,737,0
2,7837627066,1532941303,1107636753,6,597,0
0,4757975697,298427057,7762370821,3,716,0
3,3754454369,939203785,6216325192,5,660,0
1,4268934147,7326231362,700040449,5,739,0
0,4741354361,6695905346,8257972604,2,653,0
4,3772060509,1586765075,6679320094,4,614,1
0,2868498295,7026143667,8663435598,4,550,0
2,4530828003,1350047786,7470314665,2,628,0
2,3919066767,1216299032,684073692,3,626,0
0,485385049,6355461574,9065391354,4,704,0
1,3783963175,894226391,9535958591,5,723,0
1,5990975328,7799589808,7220175809,6,723,0
0,3610267797,6557621986,6557621986,5,681,0
0,5209760975,7340702006,7340702006,5,584,0
4,2828626419,1290292986,5094142571,1,491,1
3,5724471121,1534270813,8070319346,3,600,1
5,1886152094,1236155367,4344689077,3,588,1
5,3913553678,2210184248,7521303583,4,585,1
0,1124556095,111263854,2976467203,8,649,0
0,2886340104,3010574155,6421339694,5,573,0
0,3406535783,6029492647,6762526961,5,688,0
0,4281356573,7338093753,7338093753,7,611,0
2,2619633546,7933465196,4240918427,1,632,0
0,4953086878,6697956762,7798656419,3,620,0
1,4110655287,7431429163,6779497728,5,720,0
3,6473282196,1766864721,1164308637,5,621,0
2,3312309973,7636226875,6033240891,6,743,0
3,3566091882,1210864916,6880809217,5,596,0
1,3791268488,8780381686,6127722148,3,614,0
4,5939575882,1890242004,9183875292,6,624,1
0,6505114051,9200150499,1036722741,4,672,0
5,5939342177,2228423222,814353797,4,545,1
4,310819664,1155383417,515086519,6,736,0
3,3639414728,1020557147,6139413722,5,548,0
0,6075687827,6912559009,8000232187,4,667,0
0,2902490165,2218124639,451811833,5,614,0
0,5531963122,7354683265,8895670113,3,692,0
1,418126906,1265023872,1096460393,4,663,0
1,4225497215,6651774217,6927195457,6,616,0
2,3728415443,9929806779,6923930373,6,619,0
0,4682516873,6581588747,8215678847,6,720,0
3,4791233791,1390460304,7229583389,3,532,1
0,470250774,753649231,753649231,5,718,0
1,3985109453,8717104217,8545262022,6,697,0
0,3225743051,4132913997,5337544583,3,609,0
1,1767982029,4403643075,4535019408,6,671,0
0,3726304078,550533968,7706611849,3,635,0
5,3857227759,162700729,6182835392,4,541,1
0,361212631,5251019954,5251019954,4,666,0
0,5490911557,1017722134,8121233376,3,636,0
1,4239619843,6823860555,7227519683,5,657,0
5,193821905,1192297179,379073125,7,584,1
0,2503859561,3461885587,477651205,2,665,0
0,4415898757,3849323208,7536227475,6,617,0
0,3273834236,3307646603,549934197,5,614,0
0,3341995852,1988544428,7576477583,5,598,0
5,63809341,2896619979,1007273454,2,597,1
0,3283551329,4775429144,6893330018,5,666,0
1,1400237636,171548538,2268256368,6,659,0
0,189313213,3606908457,5268849012,6,652,0
0,3755959299,524174103,7944199814,3,546,0
1,4282311722,6595683073,738465617,5,696,0
0,3133033869,7793412656,7793412656,7,653,0
